index	subject	issuer	serial	not_before	not_after	sha256_fingerprint	der_sha256
010.pem	C = US, O = VISA, OU = Visa International Service Association, CN = Visa eCommerce Root	C = US, O = VISA, OU = Visa International Service Association, CN = Visa eCommerce Root	1386354D1D3F06F2C1F96505D5901C62	Jun 26 02:18:36 2002 GMT	Jun 24 00:16:12 2022 GMT	69:FA:C9:BD:55:FB:0A:C7:8D:53:BB:EE:5C:F1:D5:97:98:9F:D0:AA:AB:20:A2:51:51:BD:F1:73:3E:E7:D1:22	69fac9bd55fb0ac78d53bbee5cf1d597989fd0aaab20a25151bdf1733ee7d122
011.pem	C = GB, ST = Greater Manchester, L = Salford, O = Comodo CA Limited, CN = AAA Certificate Services	C = GB, ST = Greater Manchester, L = Salford, O = Comodo CA Limited, CN = AAA Certificate Services	01	Jan  1 00:00:00 2004 GMT	Dec 31 23:59:59 2028 GMT	D7:A7:A0:FB:5D:7E:27:31:D7:71:E9:48:4E:BC:DE:F7:1D:5F:0C:3E:0A:29:48:78:2B:C8:3E:E0:EA:69:9E:F4	d7a7a0fb5d7e2731d771e9484ebcdef71d5f0c3e0a2948782bc83ee0ea699ef4
012.pem	C = BM, O = QuoVadis Limited, OU = Root Certification Authority, CN = QuoVadis Root Certification Authority	C = BM, O = QuoVadis Limited, OU = Root Certification Authority, CN = QuoVadis Root Certification Authority	3AB6508B	Mar 19 18:33:33 2001 GMT	Mar 17 18:33:33 2021 GMT	A4:5E:DE:3B:BB:F0:9C:8A:E1:5C:72:EF:C0:72:68:D6:93:A2:1C:99:6F:D5:1E:67:CA:07:94:60:FD:6D:88:73	a45ede3bbbf09c8ae15c72efc07268d693a21c996fd51e67ca079460fd6d8873
013.pem	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 2	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 2	0509	Nov 24 18:27:00 2006 GMT	Nov 24 18:23:33 2031 GMT	85:A0:DD:7D:D7:20:AD:B7:FF:05:F8:3D:54:2B:20:9D:C7:FF:45:28:F7:D6:77:B1:83:89:FE:A5:E5:C4:9E:86	85a0dd7dd720adb7ff05f83d542b209dc7ff4528f7d677b18389fea5e5c49e86
014.pem	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 3	C = BM, O = QuoVadis Limited, CN = QuoVadis Root CA 3	05C6	Nov 24 19:11:23 2006 GMT	Nov 24 19:06:44 2031 GMT	18:F1:FC:7F:20:5D:F8:AD:DD:EB:7F:E0:07:DD:57:E3:AF:37:5A:9C:4D:8D:73:54:6B:F4:F1:FE:D1:E1:8D:35	18f1fc7f205df8adddeb7fe007dd57e3af375a9c4d8d73546bf4f1fed1e18d35
015.pem	C = JP, O = SECOM Trust.net, OU = Security Communication RootCA1	C = JP, O = SECOM Trust.net, OU = Security Communication RootCA1	00	Sep 30 04:20:49 2003 GMT	Sep 30 04:20:49 2023 GMT	E7:5E:72:ED:9F:56:0E:EC:6E:B4:80:00:73:A4:3F:C3:AD:19:19:5A:39:22:82:01:78:95:97:4A:99:02:6B:6C	e75e72ed9f560eec6eb4800073a43fc3ad19195a392282017895974a99026b6c
016.pem	C = FI, O = Sonera, CN = Sonera Class2 CA	C = FI, O = Sonera, CN = Sonera Class2 CA	1D	Apr  6 07:29:40 2001 GMT	Apr  6 07:29:40 2021 GMT	79:08:B4:03:14:C1:38:10:0B:51:8D:07:35:80:7F:FB:FC:F8:51:8A:00:95:33:71:05:BA:38:6B:15:3D:D9:27	7908b40314c138100b518d0735807ffbfcf8518a0095337105ba386b153dd927
017.pem	C = US, OU = www.xrampsecurity.com, O = XRamp Security Services Inc, CN = XRamp Global Certification Authority	C = US, OU = www.xrampsecurity.com, O = XRamp Security Services Inc, CN = XRamp Global Certification Authority	50946CEC18EAD59C4DD597EF758FA0AD	Nov  1 17:14:04 2004 GMT	Jan  1 05:37:19 2035 GMT	CE:CD:DC:90:50:99:D8:DA:DF:C5:B1:D2:09:B7:37:CB:E2:C1:8C:FB:2C:10:C0:FF:0B:CF:0D:32:86:FC:1A:A2	cecddc905099d8dadfc5b1d209b737cbe2c18cfb2c10c0ff0bcf0d3286fc1aa2
018.pem	"C = US, O = ""The Go Daddy Group, Inc."", OU = Go Daddy Class 2 Certification Authority"	"C = US, O = ""The Go Daddy Group, Inc."", OU = Go Daddy Class 2 Certification Authority"	00	Jun 29 17:06:20 2004 GMT	Jun 29 17:06:20 2034 GMT	C3:84:6B:F2:4B:9E:93:CA:64:27:4C:0E:C6:7C:1E:CC:5E:02:4F:FC:AC:D2:D7:40:19:35:0E:81:FE:54:6A:E4	c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4
019.pem	"C = US, O = ""Starfield Technologies, Inc."", OU = Starfield Class 2 Certification Authority"	"C = US, O = ""Starfield Technologies, Inc."", OU = Starfield Class 2 Certification Authority"	00	Jun 29 17:39:16 2004 GMT	Jun 29 17:39:16 2034 GMT	14:65:FA:20:53:97:B8:76:FA:A6:F0:A9:95:8E:55:90:E4:0F:CC:7F:AA:4F:B7:C2:C8:67:75:21:FB:5F:B6:58	1465fa205397b876faa6f0a9958e5590e40fcc7faa4fb7c2c8677521fb5fb658
020.pem	C = TW, O = Government Root Certification Authority	C = TW, O = Government Root Certification Authority	1F9D595AD72FC20644A5800869E35EF6	Dec  5 13:23:33 2002 GMT	Dec  5 13:23:33 2032 GMT	76:00:29:5E:EF:E8:5B:9E:1F:D6:24:DB:76:06:2A:AA:AE:59:81:8A:54:D2:77:4C:D4:C0:B2:C0:11:31:E1:B3	7600295eefe85b9e1fd624db76062aaaae59818a54d2774cd4c0b2c01131e1b3
021.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Assured ID Root CA	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Assured ID Root CA	0CE7E0E517D846FE8FE560FC1BF03039	Nov 10 00:00:00 2006 GMT	Nov 10 00:00:00 2031 GMT	3E:90:99:B5:01:5E:8F:48:6C:00:BC:EA:9D:11:1E:E7:21:FA:BA:35:5A:89:BC:F1:DF:69:56:1E:3D:C6:32:5C	3e9099b5015e8f486c00bcea9d111ee721faba355a89bcf1df69561e3dc6325c
022.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Global Root CA	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert Global Root CA	083BE056904246B1A1756AC95991C74A	Nov 10 00:00:00 2006 GMT	Nov 10 00:00:00 2031 GMT	43:48:A0:E9:44:4C:78:CB:26:5E:05:8D:5E:89:44:B4:D8:4F:96:62:BD:26:DB:25:7F:89:34:A4:43:C7:01:61	4348a0e9444c78cb265e058d5e8944b4d84f9662bd26db257f8934a443c70161
023.pem	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert High Assurance EV Root CA	C = US, O = DigiCert Inc, OU = www.digicert.com, CN = DigiCert High Assurance EV Root CA	02AC5C266A0B409B8F0B79F2AE462577	Nov 10 00:00:00 2006 GMT	Nov 10 00:00:00 2031 GMT	74:31:E5:F4:C3:C1:CE:46:90:77:4F:0B:61:E0:54:40:88:3B:A9:A0:1E:D0:0B:A6:AB:D7:80:6E:D3:B1:18:CF	7431e5f4c3c1ce4690774f0b61e05440883ba9a01ed00ba6abd7806ed3b118cf
024.pem	C = FR, O = Certplus, CN = Class 2 Primary CA	C = FR, O = Certplus, CN = Class 2 Primary CA	85BD4BF3D8DAE369F694D75FC3A54423	Jul  7 17:05:00 1999 GMT	Jul  6 23:59:59 2019 GMT	0F:99:3C:8A:EF:97:BA:AF:56:87:14:0E:D5:9A:D1:82:1B:B4:AF:AC:F0:AA:9A:58:B5:D5:7A:33:8A:3A:FB:CB	0f993c8aef97baaf5687140ed59ad1821bb4afacf0aa9a58b5d57a338a3afbcb
025.pem	O = Digital Signature Trust Co., CN = DST Root CA X3	O = Digital Signature Trust Co., CN = DST Root CA X3	44AFB080D6A327BA893039862EF8406B	Sep 30 21:12:19 2000 GMT	Sep 30 14:01:15 2021 GMT	06:87:26:03:31:A7:24:03:D9:09:F1:05:E6:9B:CF:0D:32:E1:BD:24:93:FF:C6:D9:20:6D:11:BC:D6:77:07:39	0687260331a72403d909f105e69bcf0d32e1bd2493ffc6d9206d11bcd6770739
026.pem	C = CH, O = SwissSign AG, CN = SwissSign Gold CA - G2	C = CH, O = SwissSign AG, CN = SwissSign Gold CA - G2	BB401C43F55E4FB0	Oct 25 08:30:35 2006 GMT	Oct 25 08:30:35 2036 GMT	62:DD:0B:E9:B9:F5:0A:16:3E:A0:F8:E7:5C:05:3B:1E:CA:57:EA:55:C8:68:8F:64:7C:68:81:F2:C8:35:7B:95	62dd0be9b9f50a163ea0f8e75c053b1eca57ea55c8688f647c6881f2c8357b95
027.pem	C = CH, O = SwissSign AG, CN = SwissSign Silver CA - G2	C = CH, O = SwissSign AG, CN = SwissSign Silver CA - G2	4F1BD42F54BB2F4B	Oct 25 08:32:46 2006 GMT	Oct 25 08:32:46 2036 GMT	BE:6C:4D:A2:BB:B9:BA:59:B6:F3:93:97:68:37:42:46:C3:C0:05:99:3F:A9:8F:02:0D:1D:ED:BE:D4:8A:81:D5	be6c4da2bbb9ba59b6f3939768374246c3c005993fa98f020d1dedbed48a81d5
028.pem	C = US, O = GeoTrust Inc., CN = GeoTrust Primary Certification Authority	C = US, O = GeoTrust Inc., CN = GeoTrust Primary Certification Authority	18ACB56AFD69B6153A636CAFDAFAC4A1	Nov 27 00:00:00 2006 GMT	Jul 16 23:59:59 2036 GMT	37:D5:10:06:C5:12:EA:AB:62:64:21:F1:EC:8C:92:01:3F:C5:F8:2A:E9:8E:E5:33:EB:46:19:B8:DE:B4:D0:6C	37d51006c512eaab626421f1ec8c92013fc5f82ae98ee533eb4619b8deb4d06c
029.pem	"C = US, O = ""thawte, Inc."", OU = Certification Services Division, OU = ""(c) 2006 thawte, Inc. - For authorized use only"", CN = thawte Primary Root CA"	"C = US, O = ""thawte, Inc."", OU = Certification Services Division, OU = ""(c) 2006 thawte, Inc. - For authorized use only"", CN = thawte Primary Root CA"	344ED55720D5EDEC49F42FCE37DB2B6D	Nov 17 00:00:00 2006 GMT	Jul 16 23:59:59 2036 GMT	8D:72:2F:81:A9:C1:13:C0:79:1D:F1:36:A2:96:6D:B2:6C:95:0A:97:1D:B4:6B:41:99:F4:EA:54:B7:8B:FB:9F	8d722f81a9c113c0791df136a2966db26c950a971db46b4199f4ea54b78bfb9f
030.pem	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 2006 VeriSign, Inc. - For authorized use only"", CN = VeriSign Class 3 Public Primary Certification Authority - G5"	"C = US, O = ""VeriSign, Inc."", OU = VeriSign Trust Network, OU = ""(c) 2006 VeriSign, Inc. - For authorized use only"", CN = VeriSign Class 3 Public Primary Certification Authority - G5"	18DAD19E267DE8BB4A2158CDCC6B3B4A	Nov  8 00:00:00 2006 GMT	Jul 16 23:59:59 2036 GMT	9A:CF:AB:7E:43:C8:D8:80:D0:6B:26:2A:94:DE:EE:E4:B4:65:99:89:C3:D0:CA:F1:9B:AF:64:05:E4:1A:B7:DF	9acfab7e43c8d880d06b262a94deeee4b4659989c3d0caf19baf6405e41ab7df
031.pem	C = US, O = SecureTrust Corporation, CN = SecureTrust CA	C = US, O = SecureTrust Corporation, CN = SecureTrust CA	0CF08E5C0816A5AD427FF0EB271859D0	Nov  7 19:31:18 2006 GMT	Dec 31 19:40:55 2029 GMT	F1:C1:B5:0A:E5:A2:0D:D8:03:0E:C9:F6:BC:24:82:3D:D3:67:B5:25:57:59:B4:E7:1B:61:FC:E9:F7:37:5D:73	f1c1b50ae5a20dd8030ec9f6bc24823dd367b5255759b4e71b61fce9f7375d73
032.pem	C = US, O = SecureTrust Corporation, CN = Secure Global CA	C = US, O = SecureTrust Corporation, CN = Secure Global CA	075622A4E8D48A894DF413C8F0F8EAA5	Nov  7 19:42:28 2006 GMT	Dec 31 19:52:06 2029 GMT	42:00:F5:04:3A:C8:59:0E:BB:52:7D:20:9E:D1:50:30:29:FB:CB:D4:1C:A1:B5:06:EC:27:F1:5A:DE:7D:AC:69	4200f5043ac8590ebb527d209ed1503029fbcbd41ca1b506ec27f15ade7dac69
033.pem	C = GB, ST = Greater Manchester, L = Salford, O = COMODO CA Limited, CN = COMODO Certification Authority	C = GB, ST = Greater Manchester, L = Salford, O = COMODO CA Limited, CN = COMODO Certification Authority	4E812D8A8265E00B02EE3E350246E53D	Dec  1 00:00:00 2006 GMT	Dec 31 23:59:59 2029 GMT	0C:2C:D6:3D:F7:80:6F:A3:99:ED:E8:09:11:6B:57:5B:F8:79:89:F0:65:18:F9:80:8C:86:05:03:17:8B:AF:66	0c2cd63df7806fa399ede809116b575bf87989f06518f9808c860503178baf66
034.pem	C = US, O = Network Solutions L.L.C., CN = Network Solutions Certificate Authority	C = US, O = Network Solutions L.L.C., CN = Network Solutions Certificate Authority	57CB336FC25C16E6471617E3903168E0	Dec  1 00:00:00 2006 GMT	Dec 31 23:59:59 2029 GMT	15:F0:BA:00:A3:AC:7A:F3:AC:88:4C:07:2B:10:11:A0:77:BD:77:C0:97:F4:01:64:B2:F8:59:8A:BD:83:86:0C	15f0ba00a3ac7af3ac884c072b1011a077bd77c097f40164b2f8598abd83860c
035.pem	C = GB, ST = Greater Manchester, L = Salford, O = COMODO CA Limited, CN = COMODO ECC Certification Authority	C = GB, ST = Greater Manchester, L = Salford, O = COMODO CA Limited, CN = COMODO ECC Certification Authority	1F47AFAA62007050544C019E9B63992A	Mar  6 00:00:00 2008 GMT	Jan 18 23:59:59 2038 GMT	17:93:92:7A:06:14:54:97:89:AD:CE:2F:8F:34:F7:F0:B6:6D:0F:3A:E3:A3:B8:4D:21:EC:15:DB:BA:4F:AD:C7	1793927a0614549789adce2f8f34f7f0b66d0f3ae3a3b84d21ec15dbba4fadc7
036.pem	C = CH, O = WISeKey, OU = Copyright (c) 2005, OU = OISTE Foundation Endorsed, CN = OISTE WISeKey Global Root GA CA	C = CH, O = WISeKey, OU = Copyright (c) 2005, OU = OISTE Foundation Endorsed, CN = OISTE WISeKey Global Root GA CA	413D72C7F46B1F81437DF1D22854DF9A	Dec 11 16:03:44 2005 GMT	Dec 11 16:09:51 2037 GMT	41:C9:23:86:6A:B4:CA:D6:B7:AD:57:80:81:58:2E:02:07:97:A6:CB:DF:4F:FF:78:CE:83:96:B3:89:37:D7:F5	41c923866ab4cad6b7ad578081582e020797a6cbdf4fff78ce8396b38937d7f5
