path	kind	bytes	sha256	prefix_hex	numeric_or_region_count	min_or_page	max_or_size	mean_or_note
assets/res/raw-assets/95/9510383b-cab3-4dbb-a331-5e8e96b1f7f8.atlas	atlas	5745	6558f29e56bdcb743dd46810654258906d3a3bbbe0918b6de1e0041814d957b9	0a656d6f6a695f305f312e706e670a73697a653a20313032342c3531320a666f	57	emoji_0_1.png	1024,512	
assets/res/raw-assets/96/9604032e-cc98-4e88-ab54-f754990ba749.atlas	atlas	2410	0b3f735835439057cccdf1bd5f1bbb693486d01b2bc57dc0181c880694218aaf	0a6176617461726672616d655f765f362e706e670a73697a653a203334332c33	23	avatarframe_v_6.png	343,343	
assets/res/raw-assets/98/9814c355-d620-4a7f-8b2d-20e5db282e5a.atlas	atlas	253	201dd096fc7ea8efa80158fd67fa38ed6cda6e369dbb19aaeeb39572725eea90	0a776169742e706e670a73697a653a203133362c39300a666f726d61743a2052	2	wait.png	136,90	
assets/res/raw-assets/9b/9b0824b8-b628-4a5f-89f4-9b443272e7b7.atlas	atlas	780	7d5d0e482266286b6f0bf70ebfa1a64319b2069407baa580a1c55ec93fcbc8b4	0a7370696e652e706e670a73697a653a203234322c3336340a666f726d61743a	7	spine.png	242,364	
assets/res/raw-assets/9c/9c2346cd-7d29-4162-9e93-518682ee7400.atlas	atlas	3936	c330332992ab8445b1b0a97754c5585650c79ded7a1bcd75e729d0a6241b789d	0a6261636b5f746f5f67616d6530312e706e670a73697a653a203535342c3134	32	back_to_game01.png	554,146	
assets/res/raw-assets/a1/a1ef2fc9-9c57-418a-8f69-6bed9a7a0e7f.bin	bin	5072	d36e9336918ece7f41e4c47d9b975f7f3577b78261f3adc7779edf449f43eaef	000000000000803f000000000000a04000000000000080c00000803fd0cccc3d	1268	-5.0	5.0	0.190851735209676
assets/res/raw-assets/a5/a55804c2-12af-4a0d-94c7-64557c4172a2.atlas	atlas	3584	617a7ec8284936ae8863a8ea788d09586fb584edb580b731f5f25af2eac3155a	0a6176617461726672616d655f323030332e706e670a73697a653a203430382c	35	avatarframe_2003.png	408,408	
assets/res/raw-assets/a9/a95a2b21-8ba1-4492-90ba-7d02fc1f5aec.atlas	atlas	379	9bef226e9b3c87914933bfb56435601bf156c9fed675904a0552cffee62983d3	0a7370696e652e706e670a73697a653a203536372c3238370a666f726d61743a	3	spine.png	567,287	
assets/res/raw-assets/ae/ae642d90-8e2a-4fdb-9f30-56d5b2d1ea0b.atlas	atlas	4475	4e89980dfb76fbdc16a0241e91cef08166b0b1785967af03c86fe15461a383de	0a6176617461726672616d655f323030322e706e670a73697a653a203731362c	42	avatarframe_2002.png	716,716	
assets/res/raw-assets/b1/b12fb9be-c864-4ad5-b0ba-5af6f53c2f62.atlas	atlas	5745	6558f29e56bdcb743dd46810654258906d3a3bbbe0918b6de1e0041814d957b9	0a656d6f6a695f305f312e706e670a73697a653a20313032342c3531320a666f	57	emoji_0_1.png	1024,512	
assets/res/raw-assets/b2/b2687ac4-099e-403c-a192-ff477686f4f5.plist	plist	3479	e2626a7340d4fd01dfc78052049856bcbe61a9153693ed00dcfc9921dc6de10a	3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554	51	angle;angleVariance;blendFuncDestination;blendFuncSource;duration;emitterType;finishColorAlpha;finishColorBlue;finishColorGreen;finishColorRed;finishColorVarianceAlpha;finishColorVarianceBlue;finishColorVarianceGreen;finishColorVarianceRed;finishParticleSize;finishParticleSizeVariance;gravityx;gravityy;maxParticles;maxRadius;maxRadiusVariance;minRadius;particleLifespan;particleLifespanVariance;radialAccelVariance;radialAcceleration;rotatePerSecond;rotatePerSecondVariance;rotationEnd;rotationEndVariance;rotationStart;rotationStartVariance;sourcePositionVariancex;sourcePositionVariancey;sourcePositionx;sourcePositiony;speed;speedVariance;startColorAlpha;startColorBlue;startColorGreen;startColorRed;startColorVarianceAlpha;startColorVarianceBlue;startColorVarianceGreen;startColorVarianceRed;startParticleSize;startParticleSizeVariance;tangentialAccelVariance;tangentialAcceleration;spriteFrameUuid		
assets/res/raw-assets/b9/b9252683-f8f9-4d75-9597-766056c20bbd.atlas	atlas	213	07dee924fa31960e2c29dd68f41baacd75a693e676e5b00d1febcb64792419f9	0a6176617461726672616d655f313030332e706e670a73697a653a203230322c	1	avatarframe_1003.png	202,200	
assets/res/raw-assets/b9/b9458477-fee6-4d33-9476-4238fdef20df.atlas	atlas	398	eb50e614f08554edf57162db839800289f3b149342b6b634d7a15b5107d744c2	0a6c6f6164696e672e706e670a73697a653a203339302c34330a666f726d6174	3	loading.png	390,43	
assets/res/raw-assets/c1/c107f314-25a5-4ab8-8a6b-96ad6467727b.atlas	atlas	1785	15a2dccc04d96dacebbe24fb9bce47ba16a186373dea79f8f8817b4a1358de31	0a7370696e652e706e670a73697a653a20313032342c3531320a666f726d6174	16	spine.png	1024,512	
assets/res/raw-assets/c2/c204947a-699f-4637-996d-3643a1b10da3.atlas	atlas	161	039f1c904fe964d4c15aea9adc05b79a5f2f82d05d23197fe2f49d042cd910f1	0a6d656e752e706e670a73697a653a2036362c32310a666f726d61743a205247	1	menu.png	66,21	
assets/res/raw-assets/c6/c696f209-5ae1-4f86-bf59-10f04d2c8c12.plist	plist	11279	6672d1c911a2ef47b7d85af3e5707ba2ac458d18f1dfce717d3ba8d7fd8b94de	3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554	51	angle;angleVariance;blendFuncDestination;blendFuncSource;duration;emitterType;emissionRate;finishColorAlpha;finishColorBlue;finishColorGreen;finishColorRed;finishColorVarianceAlpha;finishColorVarianceBlue;finishColorVarianceGreen;finishColorVarianceRed;rotationStart;rotationStartVariance;rotationEnd;rotationEndVariance;finishParticleSize;finishParticleSizeVariance;gravityx;gravityy;maxParticles;maxRadius;maxRadiusVariance;minRadius;minRadiusVariance;particleLifespan;particleLifespanVariance;radialAcceleration;radialAccelVariance;rotatePerSecond;rotatePerSecondVariance;sourcePositionVariancex;sourcePositionVariancey;speed;speedVariance;startColorAlpha;startColorBlue;startColorGreen;startColorRed;startColorVarianceAlpha;startColorVarianceBlue;startColorVarianceGreen;startColorVarianceRed;startParticleSize;startParticleSizeVariance;tangentialAcceleration;tangentialAccelVariance;textureImageData		
assets/res/raw-assets/cc/cc319b12-3f5a-4cc8-a745-81f923fb11d7.atlas	atlas	2330	f224ebf251629aeb0bc22137acd07dd729396639aff7218c9fafee2cfac3fb4a	0a7370696e652e706e670a73697a653a20313339352c313033360a666f726d61	22	spine.png	1395,1036	
assets/res/raw-assets/cf/cf971876-6bfb-4ac1-864a-03295f543866.plist	plist	11281	07ede959ae0f36354ec2a87e90f902401cbe81164264b9a0d9d3d6a1a7de468e	3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554	51	angle;angleVariance;blendFuncDestination;blendFuncSource;duration;emitterType;emissionRate;finishColorAlpha;finishColorBlue;finishColorGreen;finishColorRed;finishColorVarianceAlpha;finishColorVarianceBlue;finishColorVarianceGreen;finishColorVarianceRed;rotationStart;rotationStartVariance;rotationEnd;rotationEndVariance;finishParticleSize;finishParticleSizeVariance;gravityx;gravityy;maxParticles;maxRadius;maxRadiusVariance;minRadius;minRadiusVariance;particleLifespan;particleLifespanVariance;radialAcceleration;radialAccelVariance;rotatePerSecond;rotatePerSecondVariance;sourcePositionVariancex;sourcePositionVariancey;speed;speedVariance;startColorAlpha;startColorBlue;startColorGreen;startColorRed;startColorVarianceAlpha;startColorVarianceBlue;startColorVarianceGreen;startColorVarianceRed;startParticleSize;startParticleSizeVariance;tangentialAcceleration;tangentialAccelVariance;textureImageData		
assets/res/raw-assets/d1/d1b17023-a25c-4aa9-b2b0-8b27190561fe.atlas	atlas	3268	4f60592f9016ea113ccb0d08f3dd16808250293630db0e66cf0fdf88400e982f	0a7370696e652e706e670a73697a653a203834302c3834300a666f726d61743a	31	spine.png	840,840	
assets/res/raw-assets/d5/d5240e3c-6802-4af5-9abb-948044d03cb4.atlas	atlas	199	772994d6f00785faa596560907485303ef80f32fc8710a076990e0383b3119de	0a7370696e652e706e670a73697a653a203235362c3235360a666f726d61743a	1	spine.png	256,256	
assets/res/raw-assets/d9/d9167664-0718-41fd-ad78-b5c479ec05e9.atlas	atlas	210	a405dbe2e244edaca663d6d456f5e92ef43f7c750e34b7c613ad9017b9226410	0a6176617461726672616d655f313030302e706e670a73697a653a203137362c	1	avatarframe_1000.png	176,176	
assets/res/raw-assets/e4/e4e5e9a1-958e-4b41-9a61-52e2041fa4d7.atlas	atlas	5516	f83b2e628246613a22f7d68db379406b952c39d95dc4363b1abbd731223af629	0a62696777696e2e706e670a73697a653a20323034382c3531320a666f726d61	54	bigwin.png	2048,512	
assets/res/raw-assets/ea/ea19e3aa-91a4-451c-8670-d0af26e3e364.atlas	atlas	5745	6558f29e56bdcb743dd46810654258906d3a3bbbe0918b6de1e0041814d957b9	0a656d6f6a695f305f312e706e670a73697a653a20313032342c3531320a666f	57	emoji_0_1.png	1024,512	
assets/res/raw-assets/f5/f56e20c8-19c7-4cf1-9252-eedfae4e361b.atlas	atlas	5745	6558f29e56bdcb743dd46810654258906d3a3bbbe0918b6de1e0041814d957b9	0a656d6f6a695f305f312e706e670a73697a653a20313032342c3531320a666f	57	emoji_0_1.png	1024,512	
assets/res/raw-assets/fa/fa8d1714-675b-4606-90c3-210be108f4fb.atlas	atlas	381	4994b9a0a01617aa8053fa199057dc4c7596251a13750c4979ac50366d5fbdf2	0a6176617461726672616d655f323030352e706e670a73697a653a203331342c	3	avatarframe_2005.png	314,314	
assets/res/raw-assets/fd/fdfd3b2f-b199-40c7-8a81-9fffdcda4127.atlas	atlas	212	e217bb461f5cccde8425897974c5b54618d8ced4107459eb88657562ff48b575	0a6176617461726672616d655f313030342e706e670a73697a653a203137382c	1	avatarframe_1004.png	178,176	
