name	version	path	bytes	md5	package_url	remote_manifest_url
CoinVolcano	0.0.1	assets/res/raw-assets/ed/ed252393-b6db-49ca-b016-4d8c39453993.manifest	210	27e02f6544e7f8a4ebfc9abe7f8e1385	http://ifs.yonorummy.in/GameX/1.6.8.7/CoinVolcano	http://ifs.yonorummy.in/GameX/CoinVolcano/project.manifest
Coins	0.0.1	assets/res/raw-assets/8a/8adb20da-2ccf-401c-a289-34b1b0e633d4.manifest	186	d5bcbe023bc969bde766e277323356b0	http://ifs.yonorummy.in/GameX/1.6.8.7/Coins	http://ifs.yonorummy.in/GameX/Coins/project.manifest
CrashX	0.0.1	assets/res/raw-assets/8e/8e21633b-dffa-4bdf-a72d-7a8df83f95fa.manifest	190	dc209d0b9ea3d5c0cdffcfcf1ef7e241	http://ifs.yonorummy.in/GameX/1.6.8.7/CrashX	http://ifs.yonorummy.in/GameX/CrashX/project.manifest
Crazy777	0.0.1	assets/res/raw-assets/2a/2a98c32b-e3e5-4d9f-8105-206e81029e4e.manifest	198	41e4ae459f00f7b910b802a61622da7d	http://ifs.yonorummy.in/GameX/1.6.8.7/Crazy777	http://ifs.yonorummy.in/GameX/Crazy777/project.manifest
Crazy7772	0.0.1	assets/res/raw-assets/ef/ef587cc4-ad53-4f66-b943-a9b9f81420d8.manifest	202	9867965484ba831b913ac889f46b31f5	http://ifs.yonorummy.in/GameX/1.6.8.7/Crazy7772	http://ifs.yonorummy.in/GameX/Crazy7772/project.manifest
Crazy7773	0.0.1	assets/res/raw-assets/61/61334a3d-88e8-4dd3-900c-2843d4cd7871.manifest	202	817c4c5d54c40f33f9e8ddb69e5a28a5	http://ifs.yonorummy.in/GameX/1.6.8.7/Crazy7773	http://ifs.yonorummy.in/GameX/Crazy7773/project.manifest
CrazyHunter	0.0.1	assets/res/raw-assets/d0/d0113187-6f35-461d-a2e6-fad9932a4239.manifest	210	0e3804e7e4bc303e3a5bc4a8ce8d3c0e	http://ifs.yonorummy.in/GameX/1.6.8.7/CrazyHunter	http://ifs.yonorummy.in/GameX/CrazyHunter/project.manifest
CricketX	0.0.1	assets/res/raw-assets/8a/8a0effe2-ab17-45c2-bca2-eaafd489b633.manifest	198	4d58954292f0e8831362f6a322f949ec	http://ifs.yonorummy.in/GameX/1.6.8.7/CricketX	http://ifs.yonorummy.in/GameX/CricketX/project.manifest
Crypto	0.0.1	assets/res/raw-assets/46/46f5d64c-bd40-431c-9d0d-f14ad2058dda.manifest	190	439bcf9e620c3c147c58074e3ebd39ce	http://ifs.yonorummy.in/GameX/1.6.8.7/Crypto	http://ifs.yonorummy.in/GameX/Crypto/project.manifest
CursedCrypt	0.0.1	assets/res/raw-assets/37/374a7609-831a-468c-a7ce-0c00960bb7a0.manifest	210	43ff657c54857798effb474e05c5b61f	http://ifs.yonorummy.in/GameX/1.6.8.7/CursedCrypt	http://ifs.yonorummy.in/GameX/CursedCrypt/project.manifest
Dabanggg	0.0.1	assets/res/raw-assets/1b/1b337676-8bdc-4d51-9504-b1a2cd3b73ca.manifest	198	f49373484ab4d1d56622927e34bb3cb2	http://ifs.yonorummy.in/GameX/1.6.8.7/Dabanggg	http://ifs.yonorummy.in/GameX/Dabanggg/project.manifest
DafuFish	0.0.1	assets/res/raw-assets/e5/e5a1b11e-2b88-4c09-a77c-cf2e4276cfc0.manifest	198	f21d82aea62470782eae5a3927660cad	http://ifs.yonorummy.in/GameX/1.6.8.7/DafuFish	http://ifs.yonorummy.in/GameX/DafuFish/project.manifest
DarkHunting	0.0.1	assets/res/raw-assets/92/929ddff0-fe22-4e5f-9284-a8cd3b3b8782.manifest	210	7acd94b973b63f5666493246dfa3a464	http://ifs.yonorummy.in/GameX/1.6.8.7/DarkHunting	http://ifs.yonorummy.in/GameX/DarkHunting/project.manifest
Darkness	0.0.1	assets/res/raw-assets/64/64cf9ed9-01d6-481e-9ef8-49f1277dc4a8.manifest	198	88edbad1bbf0c834269e03e3fcef9fa2	http://ifs.yonorummy.in/GameX/1.6.8.7/Darkness	http://ifs.yonorummy.in/GameX/Darkness/project.manifest
DealWithDeath	0.0.1	assets/res/raw-assets/84/84c5570d-56fe-4b22-a544-49157ec94792.manifest	218	22d6f75da96729396552255596d9d4a7	http://ifs.yonorummy.in/GameX/1.6.8.7/DealWithDeath	http://ifs.yonorummy.in/GameX/DealWithDeath/project.manifest
Delphi	0.0.1	assets/res/raw-assets/ce/ce851282-9d98-415b-a5df-607bd4e97a9c.manifest	190	14d529848c0de1fc23517431022ec2e2	http://ifs.yonorummy.in/GameX/1.6.8.7/Delphi	http://ifs.yonorummy.in/GameX/Delphi/project.manifest
DeluxeWheel	0.0.1	assets/res/raw-assets/ec/ece1bf8c-2ca1-4612-8222-5c8d0ab419e2.manifest	210	eb22716f1acff76527a944e6ade17411	http://ifs.yonorummy.in/GameX/1.6.8.7/DeluxeWheel	http://ifs.yonorummy.in/GameX/DeluxeWheel/project.manifest
Dice	0.0.1	assets/res/raw-assets/32/32f52bee-2df9-49f7-b775-8c7fed59030c.manifest	182	6653d907127900af64576cec3c328cf8	http://ifs.yonorummy.in/GameX/1.6.8.7/Dice	http://ifs.yonorummy.in/GameX/Dice/project.manifest
Domino	0.0.1	assets/res/raw-assets/86/8663b78e-e211-4a5b-9a4d-b60ae6af8f7c.manifest	190	559678049625a4aac458277b6302e115	http://ifs.yonorummy.in/GameX/1.6.8.7/Domino	http://ifs.yonorummy.in/GameX/Domino/project.manifest
