path	name	localized_name	version	package_url	remote_manifest_url
assets/res/raw-assets/2e/2e11e3d6-49bc-467d-b64c-d58a8f6a905b.manifest	DragonHatch2	DragonHatch2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/DragonHatch2	http://ifs.yonorummy.in/GameX/DragonHatch2/project.manifest
assets/res/raw-assets/2e/2e8c4a71-9d35-4f6b-b812-0a7c3e5d9f28.manifest	Activity	大厅公告	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Activity	http://ifs.yonorummy.in/GameX/Activity/project.manifest
assets/res/raw-assets/30/30354e79-aecc-44b8-a1f1-ea362ba57753.manifest	GoldenBank	GoldenBank	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GoldenBank	http://ifs.yonorummy.in/GameX/GoldenBank/project.manifest
assets/res/raw-assets/32/325b4ae4-f758-4303-9598-4cb43f4c59e8.manifest	ChickenRoad2	ChickenRoad2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/ChickenRoad2	http://ifs.yonorummy.in/GameX/ChickenRoad2/project.manifest
assets/res/raw-assets/32/32f52bee-2df9-49f7-b775-8c7fed59030c.manifest	Dice	Dice	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Dice	http://ifs.yonorummy.in/GameX/Dice/project.manifest
assets/res/raw-assets/34/34499a9b-fc7c-4b20-b9bb-c3ae0c140b3c.manifest	SimpleDollar2	SimpleDollar2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SimpleDollar2	http://ifs.yonorummy.in/GameX/SimpleDollar2/project.manifest
assets/res/raw-assets/34/34bc17fe-9842-4c45-a671-8ea7dba2e6f2.manifest	GaroGem4	GaroGem4	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GaroGem4	http://ifs.yonorummy.in/GameX/GaroGem4/project.manifest
assets/res/raw-assets/35/352fafd5-f901-41a9-a478-9e4edd919886.manifest	GameRecords	大厅游戏记录	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GameRecords	http://ifs.yonorummy.in/GameX/GameRecords/project.manifest
assets/res/raw-assets/35/354ae739-3313-46cc-a06b-62de79837821.manifest	OneHundredXDollar	OneHundredXDollar	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/OneHundredXDollar	http://ifs.yonorummy.in/GameX/OneHundredXDollar/project.manifest
assets/res/raw-assets/35/354b9f46-9621-44e8-bc09-9fd6fdc3b151.manifest	CandyRush2	CandyRush2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/CandyRush2	http://ifs.yonorummy.in/GameX/CandyRush2/project.manifest
assets/res/raw-assets/37/374a7609-831a-468c-a7ce-0c00960bb7a0.manifest	CursedCrypt	CursedCrypt	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/CursedCrypt	http://ifs.yonorummy.in/GameX/CursedCrypt/project.manifest
